date,P_t,vol,MA5,MA10,MA20,MA60,F_t
2025-06-06,11.1,5209595,10.85,10.658,10.795,10.2795,10.411538461538461
2025-06-13,11.34,5681768,11.008000000000001,10.718,10.825,10.316333333333334,10.45
2025-06-20,11.6,4889432,11.172,10.849,10.8615,10.359,10.496923076923078
2025-06-27,11.96,8924990,11.392,10.986999999999998,10.9205,10.4045,10.547884615384616
2025-07-04,12.36,6628991,11.672,11.181999999999999,10.991,10.454166666666667,10.610000000000001
2025-07-11,12.67,8717515,11.986,11.418,11.072500000000002,10.501,10.67153846153846
2025-07-18,12.46,7797138,12.21,11.609,11.149,10.546166666666666,10.727884615384616
2025-07-25,12.11,7452393,12.312000000000001,11.742,11.201,10.588833333333334,10.784038461538461
2025-08-01,12.04,6668493,12.328,11.86,11.2345,10.632333333333332,10.836730769230769
2025-08-08,12.16,4407065,12.288,11.98,11.3015,10.679333333333334,10.893653846153846
2025-08-15,11.84,5923767,12.122,12.053999999999998,11.356,10.723999999999998,10.942692307692308
2025-08-22,11.82,6042335,11.994,12.102,11.41,10.765833333333335,10.98480769230769
2025-08-29,11.81,9747449,11.934000000000001,12.123000000000001,11.486,10.8105,11.032692307692308
2025-09-05,11.48,6833369,11.822,12.075,11.531,10.844,11.075769230769232
2025-09-12,11.48,4481955,11.686000000000002,11.987,11.5845,10.8765,11.126153846153848
2025-09-19,11.21,4540376,11.56,11.841000000000001,11.6295,10.910166666666667,11.167499999999999
2025-09-26,11.16,4603931,11.428,11.711,11.66,10.941166666666668,11.178653846153846
2025-09-30,11.1,2008492,11.286,11.61,11.676,10.972833333333334,11.173461538461538
2025-10-10,11.19,2135417,11.228,11.525,11.692499999999999,11.0045,11.174807692307693
2025-10-17,11.4,6584894,11.212,11.449000000000002,11.7145,11.033999999999999,11.17403846153846
2025-10-24,11.56,4901096,11.282,11.421000000000001,11.7375,11.071333333333333,11.182692307692305
2025-10-31,11.32,4941230,11.314,11.370999999999999,11.7365,11.106,11.192115384615384
2025-11-04,11.59,2455334,11.412,11.349,11.736,11.151499999999999,11.201153846153847
